 Periods ,solar_roof,temp,heat_1,elec_1,heat_2,elec_2,heat_3,elec_3
1433,0.019719268,-0.4,1.24E+03,1.40E+03,2.58E+02,2.80E+02,3.02E+01,3.50E+01
1434,0.006876685,-0.7,1.24E+03,2.00E+03,2.56E+02,4.00E+02,3.13E+01,5.00E+01
1435,0,-0.8,1.24E+03,1.40E+03,2.61E+02,2.80E+02,3.14E+01,3.50E+01
1436,0,-1,1.24E+03,1.20E+03,2.59E+02,2.40E+02,3.01E+01,3.00E+01
1437,0,-2,1.23E+03,7.01E+02,2.54E+02,1.40E+02,3.02E+01,1.75E+01
1438,0,-2,1.22E+03,7.01E+02,2.60E+02,1.40E+02,3.13E+01,1.75E+01
1439,0,-2.1,1.21E+03,7.01E+02,2.56E+02,1.40E+02,3.14E+01,1.75E+01
1440,0,-2.8,1.21E+03,3.00E+02,2.53E+02,5.99E+01,3.01E+01,7.52E+00
1441,0,-3.2,1.19E+03,2.00E+02,2.58E+02,4.00E+01,3.02E+01,5.00E+00
1442,0,-3.5,1.18E+03,2.00E+02,2.35E+02,4.00E+01,2.99E+01,5.00E+00
1443,0,-3.5,1.15E+03,2.00E+02,2.28E+02,4.00E+01,3.02E+01,5.00E+00
1444,0,-3.6,1.13E+03,2.00E+02,2.31E+02,4.00E+01,3.00E+01,5.00E+00
1445,0,-3.1,1.11E+03,2.00E+02,2.22E+02,4.00E+01,2.63E+01,5.00E+00
1446,0,-3.1,1.08E+03,2.00E+02,2.24E+02,4.00E+01,2.74E+01,5.00E+00
1447,0,-3.1,1.05E+03,9.01E+02,2.17E+02,1.80E+02,2.75E+01,2.25E+01
1448,0.007090451,-3,1.03E+03,1.81E+03,2.12E+02,3.60E+02,2.38E+01,4.50E+01
1449,0.031596839,-2.2,1.02E+03,9.01E+02,2.06E+02,1.80E+02,2.49E+01,2.25E+01
1450,0.058950163,-2.6,1.01E+03,7.01E+02,2.03E+02,1.40E+02,2.48E+01,1.75E+01
1451,0.084951539,-2.5,1.01E+03,7.01E+02,2.00E+02,1.40E+02,2.49E+01,1.75E+01
1452,0.101348228,-0.5,9.94E+02,1.40E+03,2.01E+02,2.80E+02,2.48E+01,3.50E+01
1453,0.109804727,1,9.68E+02,2.00E+03,1.98E+02,4.00E+02,2.30E+01,5.00E+01
1454,0.107842406,2.3,4.71E+02,9.01E+02,1.85E+02,1.80E+02,8.68E+00,2.25E+01
1455,0.094754454,3.3,2.94E+02,7.01E+02,1.86E+02,1.40E+02,6.79E+00,1.75E+01
1456,0.068175673,2.3,2.95E+02,7.01E+02,1.86E+02,1.40E+02,6.78E+00,1.75E+01
1457,0.038565511,2.2,5.55E+02,1.40E+03,1.84E+02,2.80E+02,6.79E+00,3.50E+01
1458,0.01250844,1,9.39E+02,2.00E+03,1.92E+02,4.00E+02,2.22E+01,5.00E+01
1459,0,1,8.80E+02,1.40E+03,1.91E+02,2.80E+02,2.24E+01,3.50E+01
1460,0,0.4,8.88E+02,1.20E+03,1.93E+02,2.40E+02,2.19E+01,3.00E+01
1461,0,0.4,9.02E+02,7.01E+02,1.94E+02,1.40E+02,2.14E+01,1.75E+01
1462,0,0.5,9.26E+02,7.01E+02,1.98E+02,1.40E+02,2.32E+01,1.75E+01
1463,0,0.5,9.42E+02,7.01E+02,1.99E+02,1.40E+02,2.32E+01,1.75E+01
1464,0,0.7,9.58E+02,3.00E+02,1.99E+02,5.99E+01,2.32E+01,7.52E+00
1465,0,0.2,9.94E+02,2.00E+02,2.02E+02,4.00E+01,2.32E+01,5.00E+00
1466,0,0.8,9.99E+02,2.00E+02,2.01E+02,4.00E+01,2.51E+01,5.00E+00
1467,0,0.7,1.01E+03,2.00E+02,2.00E+02,4.00E+01,2.69E+01,5.00E+00
1468,0,0.6,1.02E+03,2.00E+02,2.03E+02,4.00E+01,2.34E+01,5.00E+00
1469,0,0.5,1.02E+03,2.00E+02,2.06E+02,4.00E+01,2.75E+01,5.00E+00
1470,0,0.5,1.04E+03,2.00E+02,2.15E+02,4.00E+01,2.58E+01,5.00E+00
1471,0,0.3,1.06E+03,9.01E+02,2.15E+02,1.80E+02,2.75E+01,2.25E+01
1472,0.013041093,0.6,1.08E+03,1.81E+03,2.23E+02,3.60E+02,2.65E+01,4.50E+01
1473,0.077217732,1,1.10E+03,9.01E+02,2.23E+02,1.80E+02,3.01E+01,2.25E+01
1474,0.172424855,1.2,1.09E+03,7.01E+02,2.23E+02,1.40E+02,2.75E+01,1.75E+01
1475,0.255330638,1.4,1.08E+03,7.01E+02,2.24E+02,1.40E+02,2.65E+01,1.75E+01
1476,0.3586904,0.9,1.07E+03,1.40E+03,2.22E+02,2.80E+02,2.82E+01,3.50E+01
1477,0.293820504,0.8,1.07E+03,2.00E+03,2.26E+02,4.00E+02,2.65E+01,5.00E+01
1478,0.295195465,1,9.33E+02,9.01E+02,2.20E+02,1.80E+02,2.21E+01,2.25E+01
1479,0.320746008,1.4,4.06E+02,7.01E+02,2.14E+02,1.40E+02,8.41E+00,1.75E+01
1480,0.274085988,2.8,7.19E+02,7.01E+02,2.14E+02,1.40E+02,1.91E+01,1.75E+01
1481,0.133747144,4.1,9.46E+02,1.40E+03,2.26E+02,2.80E+02,2.54E+01,3.50E+01
1482,0.03381919,2.9,1.04E+03,2.00E+03,2.21E+02,4.00E+02,2.28E+01,5.00E+01
1483,0,2.4,1.08E+03,1.40E+03,2.22E+02,2.80E+02,2.82E+01,3.50E+01
1484,0,2.1,1.08E+03,1.20E+03,2.24E+02,2.40E+02,2.81E+01,3.00E+01
1485,0,1.9,1.07E+03,7.01E+02,2.27E+02,1.40E+02,2.76E+01,1.75E+01
